date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-08-30,United States,5961582.0,44143.0,182779.0,331002647.0,18010.677721257016,41925.28571428572,0.030659479312705924
2020-08-31,United States,5997163.0,35581.0,183069.0,331002647.0,18118.172329902845,42078.857142857145,0.03052593367897454
2020-09-01,United States,6031013.0,33850.0,183598.0,331002647.0,18220.43737311865,41443.42857142857,0.030442315412021165
2020-09-02,United States,6075652.0,44639.0,184689.0,331002647.0,18355.297321836824,42374.857142857145,0.030398218989501045
2020-09-03,United States,6114406.0,38754.0,185744.0,331002647.0,18472.377956542445,41790.0,0.030378093963665483
2020-09-04,United States,6150655.0,36249.0,186797.0,331002647.0,18581.890675937706,40410.0,0.030370261378666174
2020-09-05,United States,6201726.0,51071.0,187765.0,331002647.0,18736.182493428823,40612.42857142857,0.03027624890232171
2020-09-06,United States,6245866.0,44140.0,188538.0,331002647.0,18869.534901332678,40612.0,0.03018604625843718
2020-09-07,United States,6276421.0,30555.0,188941.0,331002647.0,18961.845341375774,39894.0,0.030103302503130366
2020-09-08,United States,6300671.0,24250.0,189208.0,331002647.0,19035.10759537823,38522.57142857143,0.030029817459124593
2020-09-09,United States,6327793.0,27122.0,189679.0,331002647.0,19117.04651715368,36020.142857142855,0.029975538074649408
2020-09-10,United States,6359720.0,31927.0,190815.0,331002647.0,19213.501939155187,35044.857142857145,0.0300036794072695
2020-09-11,United States,6397227.0,37507.0,191789.0,331002647.0,19326.815232386947,35224.57142857143,0.029980021030987333
2020-09-12,United States,6445288.0,48061.0,193016.0,331002647.0,19472.01346701013,34794.57142857143,0.02994683868277104
2020-09-13,United States,6486108.0,40820.0,193701.0,331002647.0,19595.33574364437,34320.28571428572,0.02986398006323669
2020-09-14,United States,6519979.0,33871.0,194079.0,331002647.0,19697.664230461578,34794.0,0.029766813666117636
2020-09-15,United States,6554820.0,34841.0,194530.0,331002647.0,19802.923207438882,36307.0,0.029677397701233597
2020-09-16,United States,6606293.0,51473.0,195937.0,331002647.0,19958.429516728305,39785.71428571428,0.029659144697336312
2020-09-17,United States,6630891.0,24598.0,196802.0,331002647.0,20032.74312183975,38738.71428571428,0.029679570965651523
2020-09-18,United States,6674458.0,43567.0,197633.0,331002647.0,20164.364425762433,39604.42857142857,0.02961034439051081
2020-09-19,United States,6724667.0,50209.0,198589.0,331002647.0,20316.0520344721,39911.28571428572,0.029531425124842612
